Input,Input_Intent,Response,Response_Intent
"Lagi bingung, mama tuh kayak nggak pernah percaya kalau aku bisa sendiri.",Family_Issues,,
"Aku sedih banget, keluargaku nggak pernah ngobrol bareng atau deket gitu.",Family_Issues,,
"Kalau ngomong sama papa tuh kayak ngomong ke tembok, nggak didengerin.",Family_Issues,,
"Aku ngerasa di rumah nggak ada yang peduli sama aku, semuanya sibuk sendiri.",Family_Issues,,
"Lagi marah banget sama mama, dia nggak ngizinin aku ngelakuin apa yang aku mau.",Family_Issues,,
"Kayaknya aku sama kakakku nggak pernah sepaham deh, selalu cekcok.",Family_Issues,,
"Aku kesel banget, ortu kayak nggak ngerti aku tuh udah dewasa, bukan anak kecil lagi.",Family_Issues,,
"Pengen cerita, aku ngerasa kayak anak tiri di rumah sendiri.",Family_Issues,,
"Aku sering nangis sendiri, papa mama tuh nggak pernah tau apa yang aku rasain.",Family_Issues,,
"Aku cuma pengen didengerin aja, kenapa di rumah susah banget ya?",Family_Issues,,
"Lagi sedih banget, mama tuh kayak nggak pernah kasih apresiasi ke aku.",Family_Issues,,
"Aku ngerasa selalu jadi orang yang salah di rumah, capek banget.",Family_Issues,,
"Kenapa ya, mama sama papa nggak pernah nanya apa aku lagi bahagia atau nggak?",Family_Issues,,
"Hai, apa kabar?",Greetings,,
"Halo, ada waktu nggak?",Greetings,,
"Yo, bisa cerita nggak?",Greetings,,
"Eh, lagi apa tuh?",Greetings,,
"Heii, ngobrol yuk!",Greetings,,
"Hai, bisa dengerin nggak?",Greetings,,
"Yo, gimana harimu?",Greetings,,
"Eh, aku boleh cerita?",Greetings,,
"Hai, sibuk nggak?",Greetings,,
"Halo, lagi santai kan?",Greetings,,
Makasih ya,Thanks,,
Thanks banget,Thanks,,
Makasih banyak,Thanks,,
"Wah, makasih banget",Thanks,,
"Aduh, makasih ya",Thanks,,
Terima kasih banget,Thanks,,
Makasih loh,Thanks,,
Thanks ya,Thanks,,
Makasih serius,Thanks,,
Makasih banget nih,Thanks,,
Lagi sibuk nggak nih?,General_Conversation,,
"Cerita dong, hari ini ngapain aja?",General_Conversation,,
"Eh, lagi asik dengerin lagu apa?",General_Conversation,,
Ada kabar seru nggak minggu ini?,General_Conversation,,
Lagi pengen makan apa sekarang?,General_Conversation,,
Udah nonton film keren belakangan ini belum?,General_Conversation,,
"Kalau santai gini, biasanya kamu ngapain?",General_Conversation,,
Lagi suka main game apa?,General_Conversation,,
Punya rencana buat besok nggak?,General_Conversation,,
"Cerita dong, yang bikin senyum hari ini apa?",General_Conversation,,
Lagi sedih banget,Share_Sadness,,
Hati aku lagi nggak enak,Share_Sadness,,
Aku capek banget hari ini,Share_Sadness,,
Kok hidup berat ya?,Share_Sadness,,
Lagi galau parah,Share_Sadness,,
Ngerasa sendirian banget,Share_Sadness,,
Aku bingung sama diri aku,Share_Sadness,,
Rasanya nggak kuat lagi,Share_Sadness,,
Aku kecewa banget sekarang,Share_Sadness,,
Lagi nggak tahu harus gimana,Share_Sadness,,
Lagi nggak semangat nih.,Ask_Motivation,,
Gimana biar aku kuat lagi?,Ask_Motivation,,
Aku butuh dorongan nih.,Ask_Motivation,,
Ada tips biar nggak nyerah?,Ask_Motivation,,
Aku ngerasa lelah banget.,Ask_Motivation,,
Gimana biar aku nggak malas?,Ask_Motivation,,
Kok aku susah optimis ya?,Ask_Motivation,,
Aku pengen bangkit lagi.,Ask_Motivation,,
Apa caranya biar semangat?,Ask_Motivation,,
Aku butuh motivasi sekarang.,Ask_Motivation,,
Lagi pengen cerita nih,Need_Someone_To_Talk,,
Bisa ngobrol bentar gak?,Need_Someone_To_Talk,,
Mau curhat dikit boleh?,Need_Someone_To_Talk,,
Aku lagi butuh temen cerita,Need_Someone_To_Talk,,
"Lagi galau, ngobrol yuk",Need_Someone_To_Talk,,
Curhat bentar dong,Need_Someone_To_Talk,,
Aku kepikiran sesuatu nih,Need_Someone_To_Talk,,
"Ngobrol aja deh, yuk",Need_Someone_To_Talk,,
"Lagi sedih, cerita dong",Need_Someone_To_Talk,,
Aku lagi gak enak hati nih,Need_Someone_To_Talk,,
Aku lagi nggak tenang nih.,Share_Anxiety,,
Kok aku jadi gampang panik ya?,Share_Anxiety,,
Rasanya gelisah terus belakangan ini.,Share_Anxiety,,
Aku suka overthinking mulu.,Share_Anxiety,,
Lagi ngerasa khawatir banget nih.,Share_Anxiety,,
Aku sering deg-degan tanpa alasan.,Share_Anxiety,,
Aku bingung sama perasaan aku sendiri.,Share_Anxiety,,
Kok aku ngerasa takut terus ya?,Share_Anxiety,,
Aku nggak bisa berhenti mikirin hal-hal kecil.,Share_Anxiety,,
Lagi pengen curhat karena cemas aja.,Share_Anxiety,,
Gimana sih biar aku nggak gampang overthinking?,Ask_Positive_Tips,,
Ada tips biar nggak cepet nyerah nggak?,Ask_Positive_Tips,,
"Lagi bingung gimana caranya ngatur waktu, ada saran?",Ask_Positive_Tips,,
"Aku suka minder, gimana biar lebih pede?",Ask_Positive_Tips,,
"Kak, ada cara biar nggak gampang marah nggak?",Ask_Positive_Tips,,
Gimana caranya biar nggak terlalu mikirin omongan orang?,Ask_Positive_Tips,,
"Aku pengen lebih semangat, ada tips nggak?",Ask_Positive_Tips,,
"Kalau lagi cemas, aku harus ngapain ya?",Ask_Positive_Tips,,
Ada cara biar nggak males belajar nggak sih?,Ask_Positive_Tips,,
Gimana biar aku nggak terlalu bandingin diri sama orang lain?,Ask_Positive_Tips,,
"Temen aku tuh suka ngilang tiba-tiba, kenapa ya?",Friendship_Troubles,,
"Lagi sebel, dia kok tiba-tiba berubah sih?",Friendship_Troubles,,
"Sahabatku udah nggak se-asik dulu, sedih banget.",Friendship_Troubles,,
Temenku bikin aku kecewa banget hari ini.,Friendship_Troubles,,
"Aku nggak ngerti deh, salahku apa ke dia?",Friendship_Troubles,,
Temen deketku malah kayak ngejauh sekarang.,Friendship_Troubles,,
"Dia marah cuma gara-gara hal kecil, pusing aku.",Friendship_Troubles,,
Aku ngerasa dia udah nggak peduli lagi.,Friendship_Troubles,,
Aku capek jadi bahan candaan terus sama dia.,Friendship_Troubles,,
Rasanya aku cuma dipake kalau dia butuh doang.,Friendship_Troubles,,
Kok ortu nggak pernah ngerti aku sih?,Family_Issues,,
Aku kesel banget sama kakak nih.,Family_Issues,,
Mama tuh nggak pernah percaya aku.,Family_Issues,,
Di rumah aku berasa nggak dianggap.,Family_Issues,,
"Papa terlalu ngatur banget, capek deh.",Family_Issues,,
Kenapa ya aku sama adik nggak akur?,Family_Issues,,
Mama suka banget bandingin aku terus.,Family_Issues,,
Keluarga kayak nggak pernah harmonis.,Family_Issues,,
Aku cuma pengen ortu dengerin aku.,Family_Issues,,
Capek banget sama drama di rumah.,Family_Issues,,
